 #  Year Month Day Hour Minute Second VelX VelY VelZ SNR1 SNR2 SNR3 
 ()    () ()  ()   ()   ()   ()  (ft/s) (ft/s) (ft/s) (dB) (dB) (dB)
  8 2018 05 23 15 52 15  1.6739 -0.0883  0.0000  24.5  22.8   0.0 
  8 2018 05 23 15 52 16  2.7096 -0.0121  0.0000  24.5  22.4   0.0 
  8 2018 05 23 15 52 17  3.2343 -0.0594  0.0000  24.9  23.2   0.0 
  8 2018 05 23 15 52 18  3.1050  0.0551  0.0000  24.9  22.8   0.0 
  8 2018 05 23 15 52 19  2.6093 -0.1394  0.0000  25.4  24.1   0.0 
  8 2018 05 23 15 52 20  2.8760 -0.4400  0.0000  24.1  23.2   0.0 
  8 2018 05 23 15 52 21  2.7178 -0.1831  0.0000  24.9  23.2   0.0 
  8 2018 05 23 15 52 22  3.3652 -0.3219  0.0000  24.9  23.2   0.0 
  8 2018 05 23 15 52 23  2.7320 -0.8999  0.0000  25.4  24.5   0.0 
  8 2018 05 23 15 52 24  2.4485 -0.2516  0.0000  24.5  23.2   0.0 
  8 2018 05 23 15 52 25  3.1198 -0.7969  0.0000  25.8  24.1   0.0 
  8 2018 05 23 15 52 26  2.7635  0.2776  0.0000  24.9  22.4   0.0 
  8 2018 05 23 15 52 27  3.6342 -0.1043  0.0000  26.2  24.1   0.0 
  8 2018 05 23 15 52 28  1.5692 -0.7533  0.0000  24.9  21.9   0.0 
  8 2018 05 23 15 52 29  3.1509 -0.8081  0.0000  24.9  22.8   0.0 
  8 2018 05 23 15 52 30  2.9810 -0.0440  0.0000  23.6  22.4   0.0 
  8 2018 05 23 15 52 31  2.0958 -0.4616  0.0000  24.5  23.6   0.0 
  8 2018 05 23 15 52 32  2.9564 -0.0089  0.0000  24.5  24.9   0.0 
  8 2018 05 23 15 52 33  4.0148  0.3524  0.0000  25.4  23.2   0.0 
  8 2018 05 23 15 52 34  1.6194  0.2093  0.0000  24.5  23.2   0.0 
  8 2018 05 23 15 52 35  2.4514  0.0820  0.0000  25.4  23.2   0.0 
  8 2018 05 23 15 52 36  1.0299 -0.9177  0.0000  25.8  23.2   0.0 
  8 2018 05 23 15 52 37  2.0312 -0.1923  0.0000  26.2  24.1   0.0 
